location,size,total_sqft,bath,price,bhk
Hebbal,4 BHK,3960.0,5.0,386.0,4
Kaggadasapura,2 BHK,1325.0,2.0,50.0,2
Sonnenahalli,2 BHK,1100.0,2.0,44.0,2
Cunningham Road,3 BHK,3875.0,3.0,800.0,3
Gollarapalya Hosahalli,3 BHK,1605.0,3.0,50.0,3
Somasundara Palya,2 BHK,1260.0,2.0,60.0,2
Hoodi,3 BHK,1553.0,3.0,83.09,3
Whitefield,2 BHK,1280.0,2.0,52.0,2
Hebbal,3 BHK,1550.0,2.0,75.0,3
Murugeshpalya,3 BHK,1550.0,3.0,74.0,3
Electronics City Phase 1,3 BHK,1515.0,2.0,80.91,3
Hosa Road,3 BHK,1332.0,2.0,86.12,3
Electronic City,3 BHK,1652.0,3.0,70.0,3
Hegde Nagar,3 BHK,1570.0,3.0,105.0,3
Sarjapur  Road,4 Bedroom,5400.0,4.0,725.0,4
Sector 2 HSR Layout,1 BHK,794.0,1.0,60.0,1
7th Phase JP Nagar,4 Bedroom,3600.0,3.0,410.0,4
HRBR Layout,3 BHK,2800.0,3.0,250.0,3
Sarjapur  Road,3 BHK,1750.0,3.0,110.0,3
Kanakpura Road,3 BHK,1100.0,3.0,53.0,3
Kadubeesanahalli,3 BHK,1665.0,3.0,70.0,3
Outer Ring Road East,4 Bedroom,4051.0,4.0,345.0,4
Bommasandra,3 BHK,1447.0,3.0,80.0,3
Balagere,2 BHK,1012.0,2.0,75.0,2
Malleshpalya,3 BHK,1900.0,3.0,60.0,3
Narayanapura,2 BHK,1308.0,2.0,92.66,2
Gunjur,2 BHK,1140.0,2.0,49.11,2
Jakkur,4 BHK,3181.0,4.0,260.5,4
Kanakapura,3 BHK,1290.0,3.0,45.15,3
Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2
Akshaya Nagar,3 BHK,1662.0,3.0,85.5,3
Shanthala Nagar,5 BHK,8321.0,5.0,2700.0,5
Begur Road,2 BHK,1200.0,2.0,45.0,2
Battarahalli,3 BHK,1777.0,3.0,100.0,3
Anandapura,3 BHK,1576.0,3.0,59.1,3
Raja Rajeshwari Nagar,1 BHK,648.0,1.0,31.75,1
Neeladri Nagar,3 BHK,1167.0,2.0,38.0,3
Kogilu,3 BHK,2350.0,5.0,327.0,3
Cleveland Town,3 BHK,1991.0,3.0,160.0,3
Rachenahalli,3 BHK,2721.0,3.0,113.0,3
Thanisandra,3 BHK,2000.0,3.0,99.0,3
Whitefield,4 BHK,2500.0,4.0,155.0,4
Mallasandra,2 BHK,1325.0,2.0,70.0,2
Kadugodi,2 BHK,1314.0,2.0,68.2,2
Kada Agrahara,3 BHK,2220.0,4.0,65.0,3
KR Puram,2 BHK,1192.5,2.0,51.22,2
Hebbal,2 BHK,1420.0,2.0,99.39,2
Sarjapur  Road,3 BHK,1888.0,4.0,95.0,3
JP Nagar,2 BHK,1300.0,2.0,90.87,2
Rajaji Nagar,2 BHK,1216.0,2.0,97.16,2
Harlur,2 BHK,1290.0,2.0,87.0,2
Koramangala,2 BHK,1900.0,2.0,200.0,2
Sarjapur  Road,3 BHK,1300.0,3.0,60.0,3
Channasandra,2 BHK,1115.0,2.0,33.45,2
Rajaji Nagar,3 BHK,2409.0,3.0,360.0,3
Ambedkar Nagar,3 BHK,2150.0,4.0,125.0,3
Marathahalli,3 BHK,1305.0,2.0,69.0,3
Kanakpura Road,2 BHK,1252.0,2.0,56.32,2
Subramanyapura,2 BHK,1313.0,2.0,66.5,2
JCR Layout,2 BHK,1160.0,2.0,41.75,2
Subramanyapura,3 BHK,1255.0,2.0,79.0,3
Bellari Road,2 BHK,900.0,2.0,45.0,2
Yelahanka New Town,3 BHK,1700.0,3.0,90.0,3
Indira Nagar,3 BHK,1875.0,3.0,180.0,3
Uttarahalli,3 BHK,1700.0,3.0,88.0,3
Harlur,3 BHK,1749.0,3.0,115.0,3
Abbaiah Reddy Layout,2 BHK,1200.0,2.0,50.0,2
Ramagondanahalli,3 BHK,1610.0,2.0,115.0,3
Electronic City,2 BHK,1070.0,2.0,46.0,2
Indira Nagar,2 BHK,1210.0,2.0,102.0,2
Thigalarapalya,4 BHK,4190.0,4.0,380.0,4
Tata Nagar,2 BHK,1364.0,2.0,70.0,2
Whitefield,4 BHK,2268.0,3.0,146.0,4
Magadi Road,2 BHK,1345.0,2.0,55.0,2
Mylasandra,2 BHK,1110.0,2.0,41.0,2
Kengeri,2 BHK,750.0,2.0,36.0,2
Motappa Layout,2 BHK,1156.0,2.0,49.5,2
Pattandur Agrahara,2 BHK,1247.0,2.0,59.8,2
Kaggalipura,2 BHK,950.0,2.0,48.0,2
Vijayanagar,3 BHK,1520.0,2.0,103.0,3
Hennur Road,3 BHK,2350.0,3.0,174.0,3
 Devarabeesana Halli,3 BHK,1672.0,3.0,150.0,3
Bommasandra,2 BHK,920.0,2.0,37.46,2
Sarjapur  Road,3 Bedroom,1200.0,3.0,70.0,3
Brindavan Nagar,3 BHK,1250.0,3.0,139.0,3
HSR Layout,2 BHK,1140.0,2.0,46.0,2
Haralur Road,2 BHK,1464.0,2.0,56.0,2
Ambedkar Colony,2 BHK,1468.0,3.0,130.0,2
Electronics City Phase 1,3 BHK,1555.0,2.0,82.0,3
Whitefield,2 BHK,1150.0,2.0,55.0,2
Seetharampalya,2 BHK,1166.0,2.0,53.0,2
Konanakunte,3 Bedroom,2779.0,3.0,317.0,3
Electronic City,3 BHK,1350.0,3.0,58.0,3
Kanaka Nagar,3 BHK,1190.0,3.0,55.0,3
Kodichikkanahalli,3 BHK,1495.0,2.0,75.0,3
Indira Nagar,2 BHK,1224.0,2.0,105.0,2
Banashankari Stage III,3 BHK,1350.0,2.0,68.0,3
Green Glen Layout,2 BHK,940.0,2.0,56.8,2
Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,55.0,2
Kaikondrahalli,2 BHK,1300.0,2.0,61.0,2
Sarjapur  Road,3 Bedroom,2600.0,3.0,200.0,3
Yelahanka,3 BHK,1517.0,3.0,76.3,3
Marathahalli,2 BHK,1365.0,2.0,73.0,2
Electronic City,2 BHK,1000.0,2.0,25.0,2
CV Raman Nagar,2 BHK,1392.0,2.0,98.0,2
Hennur Road,3 BHK,1586.0,3.0,93.94,3
Electronic City Phase II,2 BHK,1065.0,2.0,30.75,2
7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,3
Gubbalala,3 BHK,1745.0,3.0,110.0,3
Nagarbhavi,2 BHK,1223.0,2.0,60.0,2
Basaveshwara Nagar,2 BHK,1200.0,2.0,90.0,2
Binny Pete,1 BHK,665.0,1.0,46.08,1
Bharathi Nagar,2 BHK,1351.0,2.0,70.0,2
Hebbal,3 BHK,1355.0,3.0,83.87,3
Panathur,3 BHK,1370.0,2.0,75.0,3
Hoodi,2 BHK,1247.0,2.0,53.0,2
Balagere,2 BHK,1020.07,2.0,68.38,2
B Narayanapura,3 BHK,1460.0,2.0,73.0,3
Yelahanka,4 BHK,2912.5,6.0,125.5,4
Hosa Road,3 BHK,1665.0,2.0,125.0,3
Kanakapura,2 BHK,1295.0,2.0,64.0,2
Haralur Road,2 BHK,1230.0,2.0,78.0,2
Kaggalipura,2 BHK,1000.0,2.0,60.0,2
Whitefield,1 BHK,630.5,1.0,32.79,1
Thanisandra,3 BHK,1697.0,3.0,115.0,3
Whitefield,4 BHK,3537.0,5.0,210.0,4
Hosa Road,1 BHK,615.0,1.0,28.29,1
Banashankari,3 BHK,1350.0,2.0,83.0,3
Jalahalli,2 BHK,1083.0,2.0,32.49,2
Gottigere,3 BHK,1460.0,2.0,65.0,3
Bommasandra,2 BHK,1035.0,2.0,41.43,2
Hosur Road,1 BHK,460.0,1.0,21.0,1
Whitefield,2 BHK,1285.0,2.0,55.9,2
Sarjapur,3 Bedroom,1200.0,3.0,78.0,3
Raghuvanahalli,2 BHK,1070.0,2.0,35.0,2
Hegde Nagar,3 BHK,1801.0,3.0,140.0,3
Whitefield,3 BHK,1697.0,3.0,115.0,3
AECS Layout,2 BHK,1199.0,2.0,65.0,2
Iblur Village,3 BHK,2300.0,3.0,220.0,3
Marathahalli,4 BHK,3800.0,4.0,205.0,4
Wilson Garden,2 BHK,1125.0,2.0,75.0,2
Subramanyapura,2 BHK,1050.0,2.0,41.0,2
Nagarbhavi,2 BHK,956.0,2.0,49.0,2
Sarjapur,2 BHK,1000.0,2.0,30.0,2
Dooravani Nagar,3 BHK,1596.0,3.0,95.0,3
Kanakpura Road,2 BHK,1296.0,2.0,89.06,2
Challaghatta,3 BHK,1639.0,3.0,123.0,3
Electronic City Phase II,2 BHK,1219.0,2.0,61.25,2
Yeshwanthpur,3 BHK,2559.0,3.0,141.0,3
Bannerghatta Road,3 BHK,1427.0,2.0,48.51,3
Ramagondanahalli,2 BHK,920.0,2.0,65.0,2
Lingadheeranahalli,3 BHK,1530.0,2.0,90.0,3
Nehru Nagar,4 BHK,2363.0,5.0,120.0,4
Marathahalli,4 BHK,3895.0,4.0,220.0,4
Jakkur,3 BHK,1950.0,3.0,131.0,3
Hoysalanagar,2 BHK,885.0,2.0,40.0,2
Kanakpura Road,2 BHK,1339.0,2.0,62.0,2
Whitefield,2 BHK,1130.0,2.0,36.0,2
Yeshwanthpur,3 BHK,1430.0,3.0,72.0,3
Bhoganhalli,4 BHK,1451.5,4.0,121.0,4
KR Garden,2 BHK,925.0,2.0,63.0,2
Bellandur,4 BHK,3016.0,4.0,230.0,4
Whitefield,2 BHK,1215.0,2.0,39.0,2
Lakshminarayana Pura,2 BHK,1336.0,2.0,100.0,2
Yeshwanthpur,1 BHK,673.0,1.0,36.85,1
Kanakpura Road,2 BHK,1470.0,2.0,61.74,2
Marathahalli,3 BHK,1785.0,3.0,94.0,3
Yelahanka New Town,1 BHK,650.0,1.0,20.0,1
Thanisandra,2 BHK,1220.0,2.0,43.92,2
Dooravani Nagar,3 BHK,1570.0,3.0,115.0,3
Mallasandra,3 BHK,1665.0,3.0,86.91,3
Sarjapur  Road,4 Bedroom,4000.0,5.0,600.0,4
Kathriguppe,3 BHK,1350.0,2.0,87.01,3
Kasavanhalli,3 BHK,1719.0,3.0,116.0,3
Budigere,1 BHK,664.0,1.0,35.0,1
Sonnenahalli,2 BHK,1011.0,2.0,50.53,2
Yeshwanthpur,2 BHK,717.0,2.0,49.475,2
Whitefield,3 BHK,1520.0,2.0,150.0,3
Uttarahalli,3 BHK,1350.0,2.0,53.0,3
Pattandur Agrahara,2 BHK,875.0,2.0,33.0,2
Hennur,2 BHK,1231.0,2.0,48.0,2
Somasundara Palya,2 BHK,1174.0,2.0,74.0,2
Munnekollal,3 BHK,1560.0,3.0,75.0,3
Sahyadri Layout,3 BHK,1750.0,3.0,180.0,3
Kodihalli,3 BHK,2408.0,4.0,260.0,3
Devanahalli,2 BHK,1080.0,2.0,44.0,2
Begur Road,3 BHK,1500.0,2.0,55.0,3
Channasandra,2 BHK,1030.0,2.0,34.5,2
Hebbal,2 BHK,1440.0,2.0,115.0,2
Hoodi,2 BHK,1500.0,2.0,84.0,2
Bagalur,2 BHK,1200.0,2.0,50.0,2
Harlur,3 BHK,2240.0,5.0,155.0,3
Hegde Nagar,3 BHK,1584.01,3.0,103.0,3
P Krishnappa Layout,3 BHK,1340.0,3.0,77.0,3
Green Garden Layout,3 BHK,1800.0,3.0,70.0,3
Sarjapur  Road,1 BHK,685.0,1.0,40.0,1
Kalkere,2 BHK,925.0,2.0,42.0,2
Crimson Layout,2 BHK,1230.0,2.0,57.0,2
Kodichikkanahalli,2 BHK,1125.0,2.0,52.0,2
Jigani,3 Bedroom,2400.0,3.0,149.0,3
Electronic City Phase II,3 BHK,1400.0,2.0,41.58,3
Jakkur,3 BHK,1858.0,3.0,98.3,3
Ambedkar Nagar,4 BHK,3530.0,4.0,290.0,4
Kudlu Gate,3 BHK,1335.0,3.0,89.0,3
Kundalahalli,3 BHK,1397.0,3.0,110.0,3
Yelahanka New Town,2 Bedroom,1200.0,2.0,130.0,2
Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,38.55,2
Kanakpura Road,1 BHK,525.0,1.0,30.0,1
Balagere,2 BHK,1205.47,2.0,81.0,2
Electronic City,3 BHK,1700.0,3.0,75.0,3
Kanakpura Road,2 BHK,1090.0,2.0,54.54,2
Thanisandra,1 BHK,923.0,1.0,60.84,1
Muthurayya Swamy Layout,4 BHK,3595.0,6.0,360.0,4
Green Glen Layout,2 BHK,1050.0,2.0,48.0,2
Whitefield,2 BHK,1495.0,2.0,79.5,2
Electronic City,3 BHK,1400.0,2.0,48.0,3
Sarjapur  Road,2 BHK,944.0,2.0,35.0,2
Whitefield,2 BHK,1216.0,2.0,66.48,2
Thanisandra,3 BHK,1743.0,3.0,93.25,3
Yelahanka,2 BHK,1274.0,2.0,48.42,2
Mysore Road,3 BHK,1512.0,2.0,110.0,3
Doddathoguru,3 BHK,1875.0,3.0,55.0,3
Anandapura,2 BHK,1151.0,2.0,43.1,2
Sarjapur  Road,2 BHK,915.0,2.0,38.0,2
Bannerghatta Road,2 BHK,1115.0,2.0,65.12,2
Thigalarapalya,3 BHK,2072.0,4.0,139.0,3
Kaggadasapura,2 BHK,1200.0,2.0,53.0,2
Singasandra,2 BHK,1300.0,2.0,65.0,2
Bellandur,2 BHK,1457.0,2.0,85.0,2
Kannamangala,2 BHK,1262.0,2.0,55.0,2
Attibele,1 BHK,420.0,1.0,17.0,1
HSR Layout,2 BHK,1127.0,2.0,68.0,2
Kundalahalli,3 BHK,1397.0,3.0,104.0,3
Jakkur,2 BHK,1230.0,2.0,76.0,2
Sarjapur  Road,2 BHK,858.0,2.0,31.57,2
Talaghattapura,3 BHK,1868.0,3.0,121.0,3
Uttarahalli,3 BHK,1689.28,3.0,91.2,3
Uttarahalli,3 BHK,1310.0,2.0,85.0,3
Kundalahalli,3 BHK,1397.0,3.0,108.0,3
Sarjapur,2 BHK,1157.0,2.0,40.0,2
Sonnenahalli,2 BHK,1157.0,2.0,42.0,2
Sarjapur  Road,2 BHK,1241.0,2.0,82.0,2
Binny Pete,1 BHK,660.0,1.0,62.0,1
Marathahalli,4 BHK,4000.0,4.0,220.0,4
Rajiv Nagar,4 BHK,2340.0,4.0,148.0,4
Venkatadri Layout,1 BHK,596.0,1.0,42.0,1
Kyalasanahalli,4 Bedroom,1200.0,4.0,110.0,4
Ambedkar Colony,3 BHK,1910.0,3.0,190.0,3
Brookefield,2 BHK,1139.0,2.0,80.0,2
Thigalarapalya,4 BHK,3122.0,5.0,225.0,4
Yeshwanthpur,2 BHK,1168.0,2.0,64.08,2
Electronics City Phase 1,2 BHK,1340.0,2.0,75.0,2
B Narayanapura,3 BHK,1405.0,2.0,70.0,3
 Devarabeesana Halli,3 BHK,1750.0,3.0,149.0,3
Motappa Layout,3 BHK,1360.0,2.0,65.0,3
Byrasandra,2 BHK,985.0,2.0,63.0,2
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3
Rustam Bagh Layout,3 BHK,1490.0,2.0,88.0,3
Byagadadhenahalli,2 BHK,620.0,1.0,25.0,2
Yelachenahalli,2 BHK,1080.0,2.0,55.0,2
Begur Road,3 BHK,1410.0,2.0,52.17,3
Hennur Road,3 BHK,1290.0,2.0,94.5,3
Hosa Road,3 BHK,1318.0,2.0,85.28,3
Electronic City,2 BHK,1128.0,2.0,68.0,2
Meenakunte,4 Bedroom,4428.0,4.0,255.0,4
Kanakpura Road,2 BHK,1051.0,2.0,56.74,2
Kannamangala,4 Bedroom,2400.0,4.0,130.0,4
Yelahanka,2 BHK,1327.0,2.0,85.0,2
Thigalarapalya,4 BHK,2912.0,6.0,210.0,4
Basapura,2 BHK,1301.0,2.0,55.0,2
Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2
Sarjapur  Road,2 BHK,984.0,2.0,45.91,2
Jakkur,3 BHK,1819.18,3.0,160.0,3
Hebbal,3 BHK,1355.0,3.0,83.87,3
Sarakki Nagar,3 BHK,2145.0,4.0,270.0,3
Malleshwaram,3 BHK,2475.0,4.0,300.0,3
Hosakerehalli,2 BHK,1304.0,2.0,100.0,2
Begur Road,3 BHK,1615.0,3.0,58.0,3
Sarjapur  Road,2 BHK,1400.0,2.0,68.0,2
CV Raman Nagar,2 BHK,1070.0,2.0,47.5,2
Hebbal,3 BHK,3500.0,3.0,395.0,3
Hoodi,2 BHK,1132.0,2.0,89.37,2
Sector 2 HSR Layout,1 BHK,794.0,1.0,65.0,1
Raja Rajeshwari Nagar,2 BHK,1090.0,2.0,43.59,2
Gottigere,3 BHK,1500.0,3.0,70.0,3
1st Phase JP Nagar,3 BHK,2059.0,3.0,225.0,3
Kanakpura Road,1 BHK,525.0,1.0,30.0,1
Bhoganhalli,2 BHK,1447.0,2.0,75.97,2
Whitefield,2 BHK,1269.0,2.0,75.0,2
Kanakpura Road,2 BHK,1070.0,2.0,37.45,2
Ramamurthy Nagar,2 BHK,1185.0,2.0,45.5,2
Chandapura,2 BHK,1015.0,2.0,25.88,2
Ckikkakammana Halli,2 BHK,902.0,2.0,42.0,2
Binny Pete,2 BHK,1365.0,2.0,122.0,2
Doddathoguru,2 BHK,984.0,2.0,51.0,2
Haralur Road,2 BHK,1300.0,2.0,79.0,2
Munivenkatppa Layout,2 BHK,1550.0,2.0,160.0,2
Yelahanka,4 Bedroom,4025.0,5.0,800.0,4
Murugeshpalya,3 BHK,1845.0,3.0,91.0,3
Sarjapura - Attibele Road,3 BHK,1676.0,3.0,52.0,3
Uttarahalli,2 BHK,1137.0,2.0,63.0,2
Electronic City,3 BHK,1360.0,2.0,70.5,3
Vijaya Bank Layout,3 BHK,1374.0,2.0,70.0,3
Electronic City Phase II,3 BHK,1790.0,3.0,100.0,3
Somasundara Palya,2 BHK,1033.0,2.0,48.0,2
Binny Pete,4 BHK,2940.0,6.0,280.0,4
Kumarapalli,2 BHK,1240.0,2.0,52.6,2
Kambipura,2 BHK,883.0,2.0,39.0,2
Outer Ring Road East,3 BHK,1500.0,2.0,97.0,3
Marathahalli,3 BHK,1730.0,3.0,139.0,3
Whitefield,3 BHK,1545.0,3.0,79.0,3
Marsur,3 Bedroom,1200.0,3.0,120.0,3
Lingadheeranahalli,3 BHK,1682.0,3.0,120.0,3
Yelahanka,3 BHK,1371.0,2.0,65.0,3
Ambalipura,3 BHK,1730.0,3.0,120.0,3
EPIP Zone,3 BHK,1500.0,3.0,102.0,3
Lingarajapuram,2 BHK,1203.0,2.0,59.86,2
Vasantha Vallabha Nagar,3 BHK,1600.0,3.0,76.0,3
Yelahanka New Town,1 BHK,350.0,1.0,13.5,1
Varthur,3 BHK,1665.0,3.0,53.0,3
Haralur Road,3 BHK,1444.0,2.0,80.0,3
Lingadheeranahalli,3 BHK,1521.0,3.0,94.71,3
Old Madras Road,3 BHK,2760.0,5.0,157.0,3
Marathahalli,2 BHK,1325.0,1.0,92.0,2
Electronics City Phase 1,1 BHK,650.0,1.0,23.0,1
Electronic City Phase II,2 BHK,769.0,2.0,40.0,2
Electronic City,3 BHK,1571.0,3.0,105.0,3
Hennur Road,3 BHK,1445.0,3.0,86.56,3
Hosur Road,3 BHK,1590.0,2.0,135.0,3
Bommasandra,2 BHK,902.0,2.0,49.0,2
Yelahanka,3 BHK,1712.0,3.0,82.0,3
Kundalahalli,3 BHK,1920.0,3.0,150.0,3
Electronic City,2 BHK,1089.0,2.0,45.0,2
Horamavu Agara,2 BHK,1106.0,2.0,43.09,2
Kanakpura Road,2 BHK,1339.0,2.0,58.0,2
Thanisandra,1 BHK,923.0,1.0,45.69,1
Lakshminarayana Pura,2 BHK,1175.0,2.0,75.0,2
Thubarahalli,2 BHK,975.0,2.0,55.0,2
Hebbal,3 BHK,2400.0,4.0,180.0,3
Subramanyapura,3 BHK,1330.0,3.0,72.0,3
Thanisandra,2 BHK,1183.0,2.0,59.74,2
Hebbal,3 BHK,1255.0,2.0,77.68,3
Pai Layout,2 BHK,1100.0,2.0,50.0,2
Ramamurthy Nagar,2 BHK,1170.0,2.0,46.8,2
Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,51.77,3
Hebbal,2 BHK,1420.0,2.0,107.0,2
Kanakpura Road,3 BHK,1591.0,3.0,115.0,3
7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3
Hoodi,2 BHK,1055.0,2.0,57.63,2
Iblur Village,3 BHK,1918.0,3.0,129.0,3
Sarjapur  Road,2 BHK,1280.0,2.0,76.0,2
Nagarbhavi,3 BHK,1560.0,3.0,66.0,3
Sarjapur  Road,2 BHK,1145.0,2.0,49.5,2
Talaghattapura,3 BHK,2106.0,3.0,126.0,3
Rajaji Nagar,2 BHK,1718.0,3.0,288.0,2
Whitefield,3 BHK,1306.0,3.0,54.65,3
Hebbal,2 BHK,1320.0,2.0,92.0,2
Kalyan nagar,4 BHK,3800.0,5.0,300.0,4
Bannerghatta Road,3 BHK,1344.0,2.0,42.0,3
Lakshminarayana Pura,2 BHK,1190.0,2.0,75.0,2
Whitefield,2 BHK,1000.0,2.0,35.0,2
Kalhalli,2 Bedroom,2400.0,2.0,160.0,2
Kumaraswami Layout,2 BHK,1000.0,2.0,48.5,2
Jalahalli,3 BHK,2113.0,3.0,155.0,3
Harlur,4 BHK,1884.0,4.0,120.0,4
Electronic City,2 BHK,1110.0,2.0,40.0,2
Kudlu,2 BHK,1027.0,2.0,43.0,2
Hadosiddapura,3 Bedroom,1200.0,3.0,165.0,3
Kudlu Gate,1 BHK,703.0,1.0,52.0,1
Bellandur,2 BHK,1195.0,2.0,51.0,2
Narayanapura,2 BHK,1302.0,2.0,69.1,2
Begur Road,3 BHK,1583.0,3.0,74.4,3
Kumarapalli,3 BHK,1488.0,2.0,60.0,3
Kammasandra,3 BHK,1385.0,2.0,34.63,3
Electronic City,3 BHK,1600.0,3.0,104.0,3
Old Airport Road,2 BHK,1150.0,2.0,90.0,2
Kanakpura Road,2 BHK,1299.0,2.0,85.0,2
Devanahalli,3 BHK,1282.0,2.0,52.43,3
Kachanayakanahalli,2 BHK,861.0,2.0,35.0,2
Bannerghatta Road,3 BHK,1600.0,3.0,95.0,3
Tejaswini Nagar,3 BHK,1390.0,2.0,80.0,3
Gunjur,2 BHK,1195.0,2.0,44.0,2
Yelenahalli,2 BHK,1159.0,2.0,60.0,2
Whitefield,3 BHK,1386.0,3.0,57.46,3
Harlur,2 BHK,1197.0,2.0,79.0,2
Old Airport Road,4 BHK,2690.0,4.0,191.0,4
Bommasandra,3 BHK,1295.0,2.0,50.28,3
Whitefield,2 BHK,1132.0,2.0,79.28,2
6th block Koramangala,3 BHK,2350.0,3.0,400.0,3
Hebbal,3 BHK,1645.0,3.0,135.0,3
Marathahalli,3 BHK,1937.0,3.0,140.0,3
Doddathoguru,2 BHK,1015.0,2.0,33.5,2
Kathriguppe,3 BHK,1350.0,2.0,80.99,3
Kengeri Satellite Town,3 BHK,1149.0,2.0,29.0,3
Tindlu,3 Bedroom,1500.0,3.0,87.0,3
Yelahanka,3 BHK,1566.0,3.0,97.0,3
KR Puram,2 BHK,1290.0,2.0,49.02,2
Keshava Nagar,3 BHK,1839.0,3.0,165.0,3
Electronic City Phase II,3 BHK,1400.0,2.0,40.43,3
Whitefield,2 BHK,1140.0,2.0,39.0,2
Tumkur Road,3 BHK,1343.5,3.0,57.76,3
Kaval Byrasandra,2 BHK,1100.0,2.0,46.0,2
Vignana Nagar,2 BHK,1200.0,2.0,55.0,2
Whitefield,4 BHK,2830.0,5.0,160.0,4
Uttarahalli,3 BHK,1315.0,2.0,74.0,3
Anandapura,2 BHK,1141.0,2.0,42.75,2
AECS Layout,2 BHK,1080.0,2.0,55.0,2
HBR Layout,2 BHK,1200.0,2.0,60.0,2
Varthur,2 BHK,1111.0,2.0,41.88,2
Bannerghatta Road,2 BHK,1275.0,2.0,65.0,2
Battarahalli,2 BHK,1135.0,2.0,43.0,2
Kudlu Gate,3 BHK,1535.0,3.0,86.0,3
Nagavarapalya,2 BHK,1392.0,2.0,130.0,2
Bellandur,2 BHK,1050.0,2.0,72.0,2
Hosa Road,3 BHK,1513.0,3.0,103.0,3
Gottigere,3 BHK,1621.0,3.0,72.0,3
Bannerghatta Road,2 BHK,892.0,2.0,39.0,2
Whitefield,2 BHK,1205.0,2.0,40.0,2
Hebbal,3 BHK,1355.0,3.0,83.87,3
Indira Nagar,2 BHK,1400.0,2.0,168.0,2
Kengeri,2 BHK,726.0,2.0,35.0,2
Singena Agrahara,3 Bedroom,1500.0,3.0,149.0,3
Begur Road,2 BHK,1170.0,2.0,46.0,2
Doddathoguru,2 BHK,1104.0,2.0,39.0,2
Kanakpura Road,2 BHK,950.0,2.0,45.0,2
Hormavu,4 Bedroom,4818.0,4.0,390.0,4
Canara Bank Colony,3 BHK,1650.0,2.0,52.0,3
Kogilu,3 BHK,1559.0,3.0,127.0,3
Hanumagiri,2 BHK,1100.0,2.0,38.0,2
Benson Town,3 BHK,1750.0,3.0,150.0,3
Ramagondanahalli,2 BHK,1215.0,2.0,45.5,2
Talaghattapura,3 BHK,1868.0,3.0,135.0,3
Kanakpura Road,3 BHK,1570.0,3.0,64.5,3
Hulimavu,2 BHK,1225.0,2.0,55.0,2
Kasturi Nagar,4 BHK,1896.0,3.0,125.0,4
Sonnenahalli,1 BHK,605.0,1.0,40.0,1
Electronic City Phase II,2 BHK,900.0,2.0,32.5,2
Sarjapur  Road,4 Bedroom,3416.5,6.0,143.0,4
Thanisandra,4 BHK,3216.0,4.0,226.0,4
Kudlu,2 BHK,1092.0,2.0,44.0,2
Hulimavu,2 BHK,1255.0,2.0,74.0,2
Electronic City,3 BHK,1500.0,2.0,100.0,3
Thanisandra,2 BHK,1296.0,2.0,72.0,2
Raja Rajeshwari Nagar,2 BHK,1023.0,2.0,42.0,2
Thanisandra,2 BHK,1020.0,2.0,44.5,2
Choodasandra,3 BHK,1530.0,3.0,77.0,3
Vijaya Bank Layout,3 BHK,1605.0,2.0,85.0,3
6th Phase JP Nagar,2 BHK,1140.0,2.0,65.0,2
Green Glen Layout,3 BHK,1725.0,3.0,130.0,3
Bisuvanahalli,3 BHK,1075.0,2.0,50.0,3
Kannamangala,3 BHK,1574.0,3.0,93.34,3
Marathahalli,3 BHK,1550.0,3.0,83.0,3
Akshayanagara West,2 BHK,1205.0,2.0,60.0,2
Kambipura,3 BHK,1082.0,2.0,55.0,3
Uttarahalli,3 BHK,1215.0,2.0,52.85,3
Hebbal,4 BHK,2483.0,5.0,230.0,4
Kanakpura Road,3 BHK,1452.0,3.0,60.98,3
Electronic City Phase II,3 BHK,1329.0,2.0,41.0,3
Uttarahalli,3 BHK,1312.5,3.0,51.19,3
Hebbal,3 BHK,2600.0,3.0,195.0,3
Electronic City Phase II,3 BHK,1220.0,3.0,35.23,3
Pai Layout,2 BHK,1255.0,2.0,80.0,2
Keshava Nagar,3 BHK,1904.0,3.0,155.0,3
Murugeshpalya,3 BHK,2135.0,3.0,160.0,3
Kalena Agrahara,2 BHK,800.0,2.0,30.0,2
Hormavu,3 BHK,1500.0,3.0,70.0,3
Bannerghatta Road,3 BHK,1880.0,3.0,95.0,3
Electronic City,3 BHK,1440.0,2.0,55.0,3
Varthur,2 BHK,1097.0,2.0,33.82,2
Raja Rajeshwari Nagar,2 BHK,1070.0,2.0,50.0,2
Kumaraswami Layout,2 BHK,1000.0,2.0,58.0,2
Frazer Town,3 BHK,1900.0,4.0,145.0,3
Jigani,2 BHK,937.0,2.0,44.0,2
Green Glen Layout,2 BHK,1075.0,2.0,60.0,2
Ashwathnagar,2 BHK,936.0,2.0,43.0,2
Marathahalli,2 BHK,1350.0,2.0,86.0,2
Mallasandra,2 BHK,1325.0,2.0,70.0,2
Devanahalli,2 BHK,1174.0,2.0,59.0,2
Hosur Road,3 BHK,1890.0,3.0,162.0,3
